id;data_venda;cliente_nome;email;valor_compra;cidade;estado;Column1;;;;;;;;;;;;;
1;10/01/2023;Ana Silva;ana.silva@gmail.com;15000;SÃ£o Paulo;SP;;;;;;;;;;;;;;
2;11/01/2023;Carlos Souza;carlos.souza@uol.com.br;25050;Rio de Janeiro;RJ;;;;;;;;;;;;;;
3;12/01/2023;Beatriz Dias;bia.dias@hotmail.com;12000;Belo Horizonte;MG;;;;;;;;;;;;;;
4;13/01/2023;Daniel Rocha;dani_rocha@gmail.com;8090;Porto Alegre;RS;;;;;;;;;;;;;;
5;14/01/2023;Eduardo Lima;;50000;Curitiba;PR;;;;;;;;;;;;;;
6;15/01/2023;Fernanda Alves;fer.alves@bol.com.br;120000;Salvador;BA;;;;;;;;;;;;;;
7;16/01/2023;GABRIEL SANTOS;gabriel.santos@gmail;300;00;Recife;PE;;;;;;;;;;;;;
8;;Helena Costa;helena.costa@yahoo.com;#NÚM!;Fortaleza;CE;;;;;;;;;;;;;;
9;18/01/2023;Igor Pereira;igor.pereira@gmail.com;4500;Manaus;AM;;;;;;;;;;;;;;
10;19/01/2023;Julia Martins;;9000;BrasÃ­lia;DF;;;;;;;;;;;;;;
11;20/01/2023;Kaique;;1500;Goiania;GO;;;;;;;;;;;;;;
12;21/01/2023;Larissa;lari@com;200;Belem;PA;;;;;;;;;;;;;;
13;22/01/2023;Marcos Vinicius;marcos.v@uol.com.br;10000;FlorianÃ³polis;SC;;;;;;;;;;;;;;
14;23/01/2023;Natalia;;5000;Vitoria;ES;;;;;;;;;;;;;;
15;24/01/2023;Otavio;;7500;Natal;RN;;;;;;;;;;;;;;
16;25/01/2023;Paula;paula@teste.com;3000;Joao Pessoa;PB;;;;;;;;;;;;;;
17;26/01/2023;Rafael;rafa@gmail.com;100000;Maceio;AL;;;;;;;;;;;;;;
18;27/01/2023;Sabrina;sa_brina@hotmail.com;80000;Aracaju;SE;;;;;;;;;;;;;;
19;28/01/2023;Thiago;thiago@empresa.com;150;00;Teresina;PI;;;;;;;;;;;;;
20;29/01/2023;Ursula;ursula@gmail.com;25000;Campo Grande;MS;;;;;;;;;;;;;;
21;30/01/2023;Vinicius;vini@terra.com.br;30000;Cuiaba;MT;;;;;;;;;;;;;;
22;31/01/2023;Wagner;wagner@gmail.com;12000;Palmas;TO;;;;;;;;;;;;;;
23;01/02/2023;Xuxa;xuxa@globo.com;500000;Rio Branco;AC;;;;;;;;;;;;;;
24;02/02/2023;Yuri;yuri@gmail.com;20000;Boa Vista;RR;;;;;;;;;;;;;;
25;03/02/2023;Zeca;zeca@uol.com.br;10000;Macapa;AP;;;;;;;;;;;;;;
26;04/02/2023;Ana Silva;ana.silva@gmail.com;15000;SÃ£o Paulo;SP;;;;;;;;;;;;;;
27;05/02/2023;Bruno;;40000;Sao Luis;MA;;;;;;;;;;;;;;
28;06/02/2023;Carla;carla@gmail.com;35000;Porto Velho;RO;;;;;;;;;;;;;;
29;07/02/2023;Diego;diego@yahoo.com;#NÚM!;Sao Paulo;SP;;;;;;;;;;;;;;
30;08/02/2023;Eliana;eliana@sbt.com.br;100000;Osasco;SP;;;;;;;;;;;;;;
31;09/02/2023;Fabio;fabio@ig.com.br;50;Campinas;SP;;;;;;;;;;;;;;
32;10/02/2023;Gisele;;200000;Santos;SP;;;;;;;;;;;;;;
33;11/02/2023;Hugo;hugo@gmail.com;15000;Niteroi;RJ;;;;;;;;;;;;;;
34;12/02/2023;Isabela;isa@bela.com;30000;Petropolis;RJ;;;;;;;;;;;;;;
35;13/02/2023;Joao;joao@gmail.com;10000;Cabo Frio;RJ;;;;;;;;;;;;;;
36;14/02/2023;Kleber;kleber@uol.com.br;8000;Belo Horizonte;Minas Gerais;;;;;;;;;;;;;;
37;15/02/2023;Luana;luana@gmail.com;12000;Uberlandia;MG;;;;;;;;;;;;;;
38;16/02/2023;Mario;mario@nintendo.com;25000;Juiz de Fora;MG;;;;;;;;;;;;;;
39;17/02/2023;Nair;nair@gmail.com;6000;Contagem;MG;;;;;;;;;;;;;;
40;18/02/2023;Orlando;orlando@usa.com;50000;Betim;MG;;;;;;;;;;;;;;
41;19/02/2023;PatrÃ­cia;patricia@gmail.com;#NÚM!;Curitiba;ParanÃ¡;;;;;;;;;;;;;;
42;20/02/2023;Queiroz;queiroz@gmail.com;20000;Londrina;PR;;;;;;;;;;;;;;
43;21/02/2023;Renata;renata@gmail.com;15000;Maringa;PR;;;;;;;;;;;;;;
44;22/02/2023;Samuel;samuel@gmail.com;10000;Foz do Iguacu;PR;;;;;;;;;;;;;;
45;23/02/2023;TESTE;teste@teste.com;0;TESTE;TESTE;;;;;;;;;;;;;;
46;24/02/2023;Ubirajara;ubirajara@indio.com;30000;Salvador;Bahia;;;;;;;;;;;;;;
47;25/02/2023;Valeria;valeria@gmail.com;25000;Feira de Santana;BA;;;;;;;;;;;;;;
48;26/02/2023;Wilson;wilson@bola.com;10000;Ilheus;BA;;;;;;;;;;;;;;
49;27/02/2023;Ximena;ximena@gmail.com;15000;Porto Seguro;BA;;;;;;;;;;;;;;
50;28/02/2023;Yasmin;yasmin@gmail.com;20000;Vitoria da Conquista;BA;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
